column_name,proper_column_name,description,source_question,responses,dependent_variable,model_type,prefix_group,notes,flag_threshold_positive,flag_threshold_negative,score_high_means,is_subgroup_only,complementary_field,aggregation_guidance
hs_healthcare_abortion_pro_choice,Healthcare Abortion Pro Choice,"Abortion: Respondents who said 'always legal' vs those who said 'no exceptions', 'only exceptions' or 'undecided'","Which comes closest to your position on abortion: that abortion should be legal in all cases; that abortion should be legal with some restrictions; that abortion should be illegal except in cases of rape, incest or to save the mother’s life; or that abortion should be made illegal without any exceptions?","Always legal, Some restriction, Only exceptions, No exceptions,Undecided","Respondents who said 'always legal' vs those who said 'no exceptions', 'only exceptions' or 'undecided'",score (0–100),hs_,Postive_FLAG: 30%,30%,,higher score = more likely to hold the stated/positive position,no,hs_healthcare_abortion_pro_life,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_healthcare_abortion_pro_life,Healthcare Abortion Pro Life,"Abortion: Respondents who said 'no exceptions', 'only exceptions' vs those who said 'always legal', 'undecided'","Which comes closest to your position on abortion: that abortion should be legal in all cases; that abortion should be legal with some restrictions; that abortion should be illegal except in cases of rape, incest or to save the mother’s life; or that abortion should be made illegal without any exceptions?","Always legal, Some restriction, Only exceptions, No exceptions,Undecided","Respondents who said 'no exceptions', 'only exceptions' vs those who said 'always legal', 'undecided'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the opposing/negative position,no,hs_healthcare_abortion_pro_choice,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_behavior_activism_activist,Behavior Activism Activist,"Activism: Respondents who answered 'yes' vs those who said 'no','unsure'","In the last two years have you attended a political meeting, rally or protest or volunteered for a political campaign?","Yes, No, Unsure","Respondents who answered 'yes' vs those who said 'no','unsure'",score (0–100),hs_,Postive_FLAG: 10%,10%,,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_affordable_housing_gov_has_role,Affordable Housing Gov Has Role,Affordable Housing: Respondents who said 'government role' vs those who said 'market forces',"Thinking about the cost of housing, which comes closest to your view? Government officials should work to ensure that there is enough affordable housing, or the market alone should determine housing prices?","government role, market forces, undecided",Respondents who said 'government role' vs those who said 'market forces',score (0–100),hs_,Postive_FLAG: 30%,30%,,higher score = more likely to hold the stated/positive position,no,hs_affordable_housing_gov_no_role,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_affordable_housing_gov_no_role,Affordable Housing Gov No Role,"Affordable Housing: Respondents who said 'market forces' vs those who said 'government role','undecided'","Thinking about the cost of housing, which comes closest to your view? Government officials should work to ensure that there is enough affordable housing, or the market alone should determine housing prices?","government role, market forces, undecided","Respondents who said 'market forces' vs those who said 'government role','undecided'",score (0–100),hs_,Negative_FLAG: 10%,,10%,higher score = more likely to hold the opposing/negative position,no,hs_affordable_housing_gov_has_role,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_artificial_intelligence_concerned_raw,Artificial Intelligence Concerned Raw,AI,Does the increased use of artificial intelligence in daily life make you feel more excited or more concerned?,"Unusure/Unfamiliar,More Excited ,Equally Concerned and Excited, More Concerned",,raw score,hs_,,,,higher = stronger raw model signal,no,,Use mean or percentile distribution. Raw scores are unbounded; normalize before cross-field comparison.
hs_artificial_intelligence_excited,Artificial Intelligence Excited,"AI: Respondents who answered 'excited' vs those who answered 'unsure','equal','concerned'",Does the increased use of artificial intelligence in daily life make you feel more excited or more concerned?,"Unusure/Unfamiliar,More Excited ,Equally Concerned and Excited, More Concerned","Respondents who answered 'excited' vs those who answered 'unsure','equal','concerned'",score (0–100),hs_,Postive_FLAG: 10%,10%,,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_artificial_intelligence_concerned,Artificial Intelligence Concerned,"AI: Respondents who answered 'concerned' vs those who answered 'unsure','excited','equal'",Does the increased use of artificial intelligence in daily life make you feel more excited or more concerned?,"Unusure/Unfamiliar,More Excited ,Equally Concerned and Excited, More Concerned","Respondents who answered 'concerned' vs those who answered 'unsure','excited','equal'",score (0–100),hs_,Negative_FLAG: 30%,,30%,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_alien_disclosure_govt_disclosed_most,Alien Disclosure Govt Disclosed Most,"Aliens: Respondents who answered 'disclosed most' vs those who answered 'government hiding more','government hiding some'","These past couple of years, the federal government has declassified, held congressional hearings about and posted videos of ‘UAPs’ or Unidentified Aerial Phenomena also known as UFOs. Do you think these disclosures contain the majority information on the topic or is there more that the government isn’t telling us?","No Opinion/Unsure, Disclosed Most of What They Know, Government Hiding Information, Government Hiding Physical Evidence","Respondents who answered 'disclosed most' vs those who answered 'government hiding more','government hiding some'",score (0–100),hs_,Postive_FLAG: 10%,10%,,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_alien_disclosure_govt_hides_much,Alien Disclosure Govt Hides Much,"Aliens: Respondents who answered 'government hiding more' vs those who answered 'government hiding some','disclosed most','unsure'","These past couple of years, the federal government has declassified, held congressional hearings about and posted videos of ‘UAPs’ or Unidentified Aerial Phenomena also known as UFOs. Do you think these disclosures contain the majority information on the topic or is there more that the government isn’t telling us?","No Opinion/Unsure, Disclosed Most of What They Know, Government Hiding Information, Government Hiding Physical Evidence","Respondents who answered 'government hiding more' vs those who answered 'government hiding some','disclosed most','unsure'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
