column,topic,polarity,human_label,keep,drop_reason
hs_regulations_too_harsh,regulations,negative,Regulations are too harsh,true,
hs_conspiracy_nonbeliever,conspiracy_theories,negative,Conspiracy theory nonbeliever,false,vague worldview
hs_conspiracy_believer,conspiracy_theories,positive,Conspiracy theory believer,false,vague worldview
hs_dei_support,dei,positive,DEI support,true,
hs_dei_oppose,dei,negative,DEI opposition,true,
hs_voting_fraud_concern_oppression,voting_fraud,positive,Concerned about voter oppression,true,
hs_voting_fraud_concern_fraud,voting_fraud,positive,Concerned about voter fraud,true,
hs_violent_crime_very_worried,violent_crime,positive,Very worried about violent crime,true,
hs_violent_crime_not_worried,violent_crime,negative,Not worried about violent crime,true,
hs_united_healthcare_no_fault,united_healthcare,negative,United Healthcare not at fault,false,too narrow
hs_united_healthcare_at_fault,united_healthcare,positive,United Healthcare at fault,false,too narrow
hs_trust_science_always,trust_science,positive,Always trusts science,false,vague worldview
hs_trust_science_rarely,trust_science,negative,Rarely trusts science,false,vague worldview
hs_trans_athlete_yes,trans_athletes,positive,Trans athletes allowed,true,
hs_trans_athlete_no,trans_athletes,negative,Trans athletes not allowed,true,
hs_teachers_union_positive,teachers_union,positive,Teachers union positive view,true,
hs_teachers_union_negative,teachers_union,negative,Teachers union negative view,true,
hs_tax_cuts_support,tax_cuts,positive,Tax cuts support,true,
hs_tax_cuts_oppose,tax_cuts,negative,Tax cuts opposition,true,
hs_social_security_tax_increase_support,social_security_tax,positive,Social Security tax increase support,true,
hs_social_security_tax_increase_oppose,social_security_tax,negative,Social Security tax increase opposition,true,
hs_social_media_truth_vs_speech_truth,social_media_speech,positive,Social media should prioritize truth,true,
hs_social_media_truth_vs_speech_free_speech,social_media_speech,negative,Social media should prioritize free speech,true,
hs_sell_federal_lands_support,sell_federal_lands,positive,Sell federal lands support,true,
hs_sell_federal_lands_oppose,sell_federal_lands,negative,Sell federal lands opposition,true,
hs_school_funding_more,school_funding,positive,More school funding,true,
hs_school_funding_less,school_funding,negative,Less school funding,true,
hs_school_choice_support,school_choice,positive,School choice support,true,
hs_school_choice_oppose,school_choice,negative,School choice opposition,true,
hs_same_sex_marriage_support,same_sex_marriage,positive,Same-sex marriage support,true,
